,evaluation_mode,train_size,validation_unbalance_rate,use_scale_free_distribution,fall_out,prevalence,negative_likelyhood_ratio,f1_score,fowlkes_mallows_index,precision,balanced_accuracy,miss_rate,false_omission_rate,prevalence_threshold,matthews_correlation_coefficient,positive_likelyhood_ratio,recall,specificity,markedness,accuracy,false_discovery_rate,negative_predictive_value,diagnostic_odds_ratio,informedness,threat_score,auroc,auprc,time_required_for_training,time_required_for_evaluation,time,task_name,model_name,library_name,graph_name,nodes_number,edges_number,evaluation_schema,holdout_number,holdouts_kwargs,use_subgraph_as_support,node_feature_shapes,node_type_feature_shapes,edge_type_feature_shapes,number_of_threads,python_version,platform,node,embiggen_version,number_of_holdouts,number_of_slurm_nodes,time_required_to_compute_constant_node_features,time_required_to_compute_constant_node_type_features,time_required_to_compute_constant_edge_features,time_required_for_setting_up_holdout,time_required_to_compute_node_features,time_required_to_compute_node_type_features,time_required_to_compute_edge_type_features,time_required_to_compute_edge_features,features_names,"('model_parameters', 'random_state')","('model_parameters', 'edge_features')","('model_parameters', 'edge_embeddings')","('model_parameters', 'cooccurrence_iterations')","('model_parameters', 'cooccurrence_window_size')","('model_parameters', 'number_of_epochs')","('model_parameters', 'number_of_edges_per_mini_batch')","('model_parameters', 'learning_rate')","('model_parameters', 'first_order_decay_factor')","('model_parameters', 'second_order_decay_factor')","('model_parameters', 'avoid_false_negatives')","('model_parameters', 'use_scale_free_distribution')","('features_parameters', 'random_state')","('features_parameters', 'embedding_size')","('features_parameters', 'epochs')","('features_parameters', 'clipping_value')","('features_parameters', 'number_of_negative_samples')","('features_parameters', 'walk_length')","('features_parameters', 'iterations')","('features_parameters', 'window_size')","('features_parameters', 'max_neighbours')","('features_parameters', 'learning_rate')","('features_parameters', 'learning_rate_decay')","('features_parameters', 'central_nodes_embedding_path')","('features_parameters', 'contextual_nodes_embedding_path')","('features_parameters', 'normalize_by_degree')","('features_parameters', 'stochastic_downsample_by_degree')","('features_parameters', 'normalize_learning_rate_by_degree')","('features_parameters', 'use_scale_free_distribution')","('features_parameters', 'dtype')","('features_parameters', 'verbose')","('features_parameters', 'avoid_false_negatives')","('features_parameters', 'node_embedding_path')","('features_parameters', 'return_weight')","('features_parameters', 'explore_weight')","('features_parameters', 'contextual_node_embedding_path')"
0,train,0.0138064691637981,1.0,True,0.4330504818064145,0.6666666666666666,0.0012683916793506,0.9019569662155584,0.9062654355955332,0.8219080854084108,0.7831152020710485,0.0007191140514886,0.0025303643724696,0.3969736952008216,0.6811435811392568,2.307539023580206,0.9992808859485114,0.5669495181935855,0.819377721035941,0.8551704300302028,0.1780919145915892,0.9974696356275304,1819.263766190519,0.5662304041420969,0.8214222379854584,0.9343908776126628,0.9472843350502268,124.8893129825592,0.1081757545471191,1699112117.730178,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,0,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1872.84404873848,1872.032241821289,3.814697265625e-06,3.0994415283203125e-06,9.5367431640625e-07,DeepWalk CBOW,42,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
1,test,0.0138064691637981,1.0,True,0.4245038826574633,0.6666666666666666,0.2691154422788605,0.8215558817362131,0.8218755571053991,0.799265605875153,0.7103106125970664,0.1548748921484037,0.3499025341130604,0.4147697626486606,0.4347546961236537,1.9908536585365852,0.8451251078515962,0.5754961173425367,0.4493630717620926,0.7552487776819097,0.2007343941248469,0.6500974658869396,7.397768190773831,0.4206212251941328,0.697153024911032,0.776718976707033,0.8331013508195785,124.8893129825592,0.1081757545471191,1699112117.730178,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,0,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1872.84404873848,1872.032241821289,3.814697265625e-06,3.0994415283203125e-06,9.5367431640625e-07,DeepWalk CBOW,42,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
2,train,0.0138064691637981,1.0,True,0.5036674816625917,0.6666666666666666,0.0008693132425384,0.8879519611600869,0.893540219671305,0.7987587633605333,0.7479505249532576,0.0004314684308931,0.001735608909459,0.4151528627497015,0.6286848328789952,1.9845802398629355,0.9995685315691069,0.4963325183374083,0.7970231544510742,0.8318231938252073,0.2012412366394667,0.9982643910905408,2282.928802588969,0.4959010499065153,0.7984834558823529,0.9557276058648514,0.9631719988706612,92.57507562637328,0.1009190082550048,1699113985.31873,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,1,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1773.6915900707245,1772.8612957000732,3.814697265625e-06,1.1920928955078125e-06,9.5367431640625e-07,DeepWalk CBOW,84,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
3,test,0.0138064691637981,1.0,True,0.502588438308887,0.6666666666666666,0.240676496097138,0.825946164743979,0.827524266539669,0.7779260388867709,0.6888481449525452,0.1197152717860224,0.3249414519906323,0.430395699193978,0.4136309923770964,1.751502145922747,0.8802847282139775,0.497411561691113,0.4529845868961386,0.7526603393730227,0.222073961113229,0.6750585480093676,7.277412519815949,0.3776962899050904,0.703499396655749,0.732224633192906,0.7853308446720846,92.57507562637328,0.1009190082550048,1699113985.31873,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,1,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1773.6915900707245,1772.8612957000732,3.814697265625e-06,1.1920928955078125e-06,9.5367431640625e-07,DeepWalk CBOW,84,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
4,train,0.0138064691637981,1.0,True,0.526103840069035,0.6666666666666666,0.0009104704097116,0.8835494533435037,0.8895618828195433,0.7916619204920834,0.736732345750036,0.0004314684308931,0.0018176310209027,0.4204533673656362,0.6115254556006365,1.8999453253143792,0.9995685315691069,0.473896159930965,0.7898442894711808,0.8243444076897263,0.2083380795079166,0.9981823689790972,2086.7732823036013,0.473464691500072,0.7913914825780004,0.9563296479832776,0.9677142015530684,93.4384400844574,0.1010360717773437,1699115816.933002,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,2,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1736.8854472637177,1736.1043298244476,5.0067901611328125e-06,1.1920928955078125e-06,9.5367431640625e-07,DeepWalk CBOW,126,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
5,test,0.0138064691637981,1.0,True,0.5181190681622088,0.6666666666666666,0.2506714413607879,0.8223544840108948,0.8240791279727341,0.7724085654728066,0.6805435720448663,0.1207937877480587,0.3339296362552176,0.434280632121612,0.3979058987935503,1.6969192339716903,0.8792062122519413,0.4818809318377912,0.438478929217589,0.7467644521138913,0.2275914345271934,0.6660703637447823,6.76949565837992,0.3610871440897325,0.698303923248244,0.7366594368564731,0.7964061074935241,93.4384400844574,0.1010360717773437,1699115816.933002,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,2,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1736.8854472637177,1736.1043298244476,5.0067901611328125e-06,1.1920928955078125e-06,9.5367431640625e-07,DeepWalk CBOW,126,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
6,train,0.0138064691637981,1.0,True,0.518049762692363,0.6666666666666666,0.0004476275738584,0.8852312884021521,0.8910998133227157,0.7942302199371608,0.7408672515460952,0.0002157342154465,0.0008944543828264,0.4185486659164789,0.6182048291663369,1.9299000555247088,0.9997842657845536,0.481950237307637,0.7933357655543345,0.8271729229589146,0.2057697800628392,0.9991055456171736,4311.396724043256,0.4817345030921904,0.7940941283984464,0.9608189809248922,0.9696253879042928,112.9321699142456,0.1013250350952148,1699117667.354668,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1736.1825668811798,1735.3984072208405,4.76837158203125e-06,9.5367431640625e-07,9.5367431640625e-07,DeepWalk CBOW,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
7,test,0.0138064691637981,1.0,True,0.5146678170836929,0.6666666666666666,0.2546666666666666,0.8214718964820057,0.8230901991426179,0.773021308980213,0.6808671268334772,0.1235979292493528,0.3374558303886926,0.4338521029999349,0.3969369639141629,1.7028499580888514,0.8764020707506471,0.4853321829163071,0.4355654785915206,0.7460454414725338,0.2269786910197869,0.6625441696113075,6.686583605060935,0.3617342536669543,0.6970320809744381,0.7692214529201261,0.8432811758824094,112.9321699142456,0.1013250350952148,1699117667.354668,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,3,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1736.1825668811798,1735.3984072208405,4.76837158203125e-06,9.5367431640625e-07,9.5367431640625e-07,DeepWalk CBOW,168,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
8,train,0.0138064691637981,1.0,True,0.4802243635840644,0.6666666666666666,0.0005534034311013,0.892670241114714,0.8978317219687693,0.8063337393422655,0.7597439953976701,0.0002876456205954,0.0011055831951354,0.4093611227687608,0.6467660759259943,2.0817610062893084,0.9997123543794044,0.5197756364159356,0.80522815614713,0.8397334483915816,0.1936662606577345,0.9988944168048646,3761.7421383642495,0.5194879907953402,0.8061467091910699,0.9469179079959712,0.9581306477825332,92.1727738380432,0.1016230583190918,1699119499.621324,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1738.799175977707,1738.0106341838837,5.0067901611328125e-06,1.1920928955078125e-06,1.9073486328125e-06,DeepWalk CBOW,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
9,test,0.0138064691637981,1.0,True,0.4849007765314926,0.6666666666666666,0.2613065326633166,0.8211215718379042,0.8221985436264796,0.7811526479750779,0.6902502157031924,0.1345987920621225,0.3432343234323432,0.4280958057511807,0.4082010673788981,1.7846975088967971,0.8654012079378774,0.5150992234685073,0.4379183245427347,0.7486338797814208,0.2188473520249221,0.6567656765676568,6.829900082124279,0.3805004314063849,0.6965277777777777,0.786903391769853,0.8686212412809159,92.1727738380432,0.1016230583190918,1699119499.621324,Edge Prediction,Perceptron,Ensmallen,KGIDG,239456,2014418,Connected Monte Carlo,4,"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}",False,"[[[239456, 100], [239456, 100]]]",[[]],[[]],10,3.11.4,macOS-12.5-x86_64-i386-64bit,phineas-2.attlocal.net,0.11.83,10,,1.4066696166992188e-05,9.5367431640625e-07,9.5367431640625e-07,1738.799175977707,1738.0106341838837,5.0067901611328125e-06,1.1920928955078125e-06,1.9073486328125e-06,DeepWalk CBOW,210,,['Hadamard'],100,10,1000,32,0.001,0.9,0.999,False,False,42,100,30,6.0,10.0,128.0,10.0,5.0,100.0,0.01,0.9,,,False,False,False,False,f32,True,,,,,
