	evaluation_mode	train_size	validation_unbalance_rate	use_scale_free_distribution	precision	positive_likelyhood_ratio	matthews_correlation_coefficient	threat_score	specificity	accuracy	prevalence	negative_likelyhood_ratio	recall	diagnostic_odds_ratio	balanced_accuracy	negative_predictive_value	informedness	markedness	false_discovery_rate	fowlkes_mallows_index	false_omission_rate	f1_score	prevalence_threshold	fall_out	miss_rate	auroc	auprc	time_required_for_training	time_required_for_evaluation	time	task_name	model_name	library_name	graph_name	nodes_number	edges_number	evaluation_schema	holdout_number	holdouts_kwargs	use_subgraph_as_support	node_feature_shapes	node_type_feature_shapes	edge_type_feature_shapes	number_of_threads	python_version	platform	node	embiggen_version	number_of_holdouts	number_of_slurm_nodes	time_required_to_compute_constant_node_features	time_required_to_compute_constant_node_type_features	time_required_to_compute_constant_edge_features	time_required_for_setting_up_holdout	time_required_to_compute_node_features	time_required_to_compute_node_type_features	time_required_to_compute_edge_type_features	time_required_to_compute_edge_features	features_names	('model_parameters', 'random_state')	('model_parameters', 'edge_features')	('model_parameters', 'edge_embeddings')	('model_parameters', 'cooccurrence_iterations')	('model_parameters', 'cooccurrence_window_size')	('model_parameters', 'number_of_epochs')	('model_parameters', 'number_of_edges_per_mini_batch')	('model_parameters', 'learning_rate')	('model_parameters', 'first_order_decay_factor')	('model_parameters', 'second_order_decay_factor')	('model_parameters', 'avoid_false_negatives')	('model_parameters', 'use_scale_free_distribution')	('features_parameters', 'random_state')	('features_parameters', 'embedding_size')	('features_parameters', 'epochs')	('features_parameters', 'learning_rate')	('features_parameters', 'learning_rate_decay')	('features_parameters', 'avoid_false_negatives')	('features_parameters', 'use_scale_free_distribution')	('features_parameters', 'node_embedding_path')	('features_parameters', 'dtype')	('features_parameters', 'verbose')	('features_parameters', 'contextual_node_embedding_path')	('features_parameters', 'clipping_value')	('features_parameters', 'number_of_negative_samples')	('features_parameters', 'walk_length')	('features_parameters', 'iterations')	('features_parameters', 'window_size')	('features_parameters', 'max_neighbours')	('features_parameters', 'central_nodes_embedding_path')	('features_parameters', 'contextual_nodes_embedding_path')	('features_parameters', 'normalize_by_degree')	('features_parameters', 'stochastic_downsample_by_degree')	('features_parameters', 'normalize_learning_rate_by_degree')	('features_parameters', 'return_weight')	('features_parameters', 'explore_weight')	('features_parameters', 'metric')	('features_parameters', 'root_node_name')
0	train	0.0138064691637981	1.0	True	0.6727670966171818	1.027963706678566	0.1046778876644606	0.670027631004896	0.033079246368474	0.6736660434344887	0.6666666666666666	0.1826086956521727	0.993959441967496	5.629325060382659	0.5135193441679851	0.7324840764331211	0.0270386883359701	0.4052511730503028	0.3272329033828182	0.817742751681546	0.267515923566879	0.8024150242373226	0.496552571927905	0.966920753631526	0.0060405580325039	0.6328273232270695	0.7539553096493968	101.29486203193665	0.0550007820129394	1699107564.299911	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	21.076117038726807	20.10697317123413	4.0531158447265625e-06	4.0531158447265625e-06	2.86102294921875e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
1	test	0.0138064691637981	1.0	True	0.6601515151515152	0.9712438698172092	-0.0596761935277371	0.6333769443233028	0.0323554788610871	0.637331032499281	0.6666666666666666	1.86	0.939818809318378	0.5221741235576394	0.4860871440897325	0.211864406779661	-0.0278257118205349	-0.1279840780688238	0.3398484848484848	0.7876692268582162	0.788135593220339	0.7755428978284087	0.5036471464340543	0.9676445211389127	0.060181190681622	0.5638310924892111	0.7066363850724792	101.29486203193665	0.0550007820129394	1699107564.299911	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	0	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	21.076117038726807	20.10697317123413	4.0531158447265625e-06	4.0531158447265625e-06	2.86102294921875e-06	First-order LINE	42		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
0	train	0.0138064691637981	1.0	True	0.6728890185212192	1.0285332144449395	0.111555832250515	0.6708020353767871	0.0322163095066877	0.6743372165492114	0.6666666666666666	0.1428571428571423	0.9953976700704732	7.199732501114607	0.5138069897885805	0.7777777777777778	0.027613979577161	0.450666796298997	0.3271109814787808	0.8184083096181447	0.2222222222222222	0.802970096006033	0.4964833425317999	0.9677836904933124	0.0046023299295268	0.6221990724887029	0.7463947763712075	96.68500661849976	0.0521068572998046	1699107677.87663	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.72833514213562	14.907058954238892	5.0067901611328125e-06	9.5367431640625e-07	1.9073486328125e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
1	test	0.0138064691637981	1.0	True	0.6606280193236715	0.9733096085409252	-0.0573917035958485	0.6356769320162696	0.0301984469370146	0.639344262295082	0.6666666666666666	1.8571428571428588	0.9439171699741156	0.5240897892143439	0.4870578084555651	0.2121212121212121	-0.0258843830888697	-0.1272507685551163	0.3393719806763284	0.7896696337112156	0.7878787878787878	0.7772646536412078	0.5033815793743789	0.9698015530629852	0.0560828300258844	0.5591795852840917	0.7056426680100424	96.68500661849976	0.0521068572998046	1699107677.87663	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	1	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.72833514213562	14.907058954238892	5.0067901611328125e-06	9.5367431640625e-07	1.9073486328125e-06	First-order LINE	84		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
0	train	0.0138064691637981	1.0	True	0.6737180736985767	1.0324170899312817	0.1156861389019159	0.6709708737864077	0.0372501078671077	0.6750563306006999	0.6666666666666666	0.1621621621621611	0.993959441967496	6.3665720545762765	0.515604774917302	0.7551020408163265	0.0312095498346038	0.4288201145149033	0.3262819263014233	0.8183204999123838	0.2448979591836734	0.8030910464237987	0.49601224176547	0.9627498921328924	0.0060405580325039	0.6337521263405096	0.750818849813889	103.28137397766112	0.0484421253204345	1699107797.9357371	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.65086793899536	14.833576917648315	4.0531158447265625e-06	7.152557373046875e-07	2.1457672119140625e-06	First-order LINE	126		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
1	test	0.0138064691637981	1.0	True	0.6585886297820455	0.9645089285714286	-0.0700165701395191	0.6284176847004073	0.0336496980155306	0.6325855622663216	0.6666666666666666	2.0192307692307683	0.932053494391717	0.4776615646258506	0.4828515962036238	0.1984732824427481	-0.0342968075927523	-0.1429380877752064	0.3414113702179545	0.7834793129081382	0.8015267175572519	0.7718138787175136	0.5045169008045078	0.9663503019844694	0.0679465056082829	0.5687075154044463	0.7085786700928958	103.28137397766112	0.0484421253204345	1699107797.9357371	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	2	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.65086793899536	14.833576917648315	4.0531158447265625e-06	7.152557373046875e-07	2.1457672119140625e-06	First-order LINE	126		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
0	train	0.0138064691637981	1.0	True	0.6732895057219381	1.0304069160828735	0.1118472489800338	0.6706766917293233	0.035092765712642	0.674528980296275	0.6666666666666666	0.1639344262295091	0.9942470875880914	6.285482188105494	0.5146699266503667	0.7530864197530864	0.0293398533007334	0.4263759254750245	0.3267104942780618	0.8181785441868191	0.2469135802469135	0.8028802880288028	0.4962558464387079	0.964907234287358	0.0057529124119085	0.6193824967743292	0.7378522970805669	104.79423904418944	0.049821138381958	1699107921.688959	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	17.75780487060547	16.897762775421143	5.0067901611328125e-06	1.1920928955078125e-06	1.6689300537109375e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
1	test	0.0138064691637981	1.0	True	0.6592502285888449	0.9673524150268336	-0.0643689924687046	0.6295110593713621	0.0353753235547886	0.6338797814207651	0.6666666666666666	1.890243902439024	0.9331320103537531	0.5117606324658089	0.4842536669542709	0.2091836734693877	-0.0314926660914581	-0.1315660979417674	0.3407497714111551	0.7843261382417904	0.7908163265306123	0.7726379710662619	0.5041489558103903	0.9646246764452114	0.0668679896462467	0.5797153806612317	0.7230545731495391	104.79423904418944	0.049821138381958	1699107921.688959	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	3	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	17.75780487060547	16.897762775421143	5.0067901611328125e-06	1.1920928955078125e-06	1.6689300537109375e-06	First-order LINE	168		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
0	train	0.0138064691637981	1.0	True	0.6730076870682106	1.0290879333432523	0.110424048009057	0.6706258787026712	0.0333668919890694	0.6742892756124454	0.6666666666666666	0.1573275862068979	0.9947504674241334	6.5410520694693846	0.5140586797066015	0.760655737704918	0.0281173594132029	0.4336634247731286	0.3269923129317894	0.8182143431223492	0.2393442622950819	0.8028438769587928	0.4964159478437013	0.9666331080109304	0.0052495325758665	0.6239000569851086	0.744464757006712	99.50537610054016	0.049656867980957	1699108038.273029	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.91608715057373	15.097190856933594	5.245208740234375e-06	9.5367431640625e-07	1.9073486328125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
1	test	0.0138064691637981	1.0	True	0.6610401459854015	0.9751009421265142	-0.0497830131201316	0.6332119446467589	0.03839516824849	0.637906241012367	0.6666666666666666	1.6235955056179772	0.9376617773943056	0.6005812031090643	0.4880284728213978	0.2354497354497354	-0.0239430543572044	-0.103510118564863	0.3389598540145985	0.7872941497392589	0.7645502645502645	0.7754191937210132	0.503151743624889	0.96160483175151	0.0623382226056945	0.5627060486599602	0.7053717331137346	99.50537610054016	0.049656867980957	1699108038.273029	Edge Prediction	Perceptron	Ensmallen	KGIDG	239456	2014418	Connected Monte Carlo	4	"{""train_size"": 0.75, ""edge_types"": [""minority_edge""]}"	False	[[[239456, 100]]]	[[]]	[[]]	10	3.11.4	macOS-12.5-x86_64-i386-64bit	phineas-2.attlocal.net	0.11.83	10		9.107589721679688e-05	9.5367431640625e-07	3.814697265625e-06	15.91608715057373	15.097190856933594	5.245208740234375e-06	9.5367431640625e-07	1.9073486328125e-06	First-order LINE	210		['Hadamard']	100	10	1000	32	0.001	0.9	0.999	False	False	42.0	100	100.0	0.05	0.9	False	False		f32	False																
